Rank,Title,Publisher,Developer,Total Sales,Release Date,Last Update,Genre
656,Full Spectrum Warrior,THQ,Pandemic Studios,1000000,6/1/2004,10/6/2022,Strategy
657,Madagascar,Activision,Toys for Bob,1000000,5/24/2005,10/6/2022,Platform
658,Triangle Strategy,Square Enix,Square Enix,1000000,3/4/2022,12/21/2022,Role-Playing
659,Teenage Mutant Ninja Turtles: The Cowabunga Collection,Konami,Digital Eclipse,1000000,8/30/2022,4/7/2023,Misc
660,Tak and the Power of Juju,THQ,Avalanche Software,1000000,10/15/2003,5/21/2023,Platform
661,Tak 2: The Staff of Dreams,THQ,Avalanche Software,1000000,10/11/2004,5/21/2023,Action-Adventure
662,MX Unleashed,THQ,Rainbow Studios,1000000,2/17/2004,5/24/2023,Racing
663,Mega Man X Legacy Collection,Capcom,Capcom,1000000,7/24/2018,6/6/2023,Platform
664,Octopath Traveler II,Square Enix,Square Enix,1000000,2/24/2023,6/7/2023,Role-Playing
665,Needy Streamer Overload,WSS playground,WSS playground,1000000,1/21/2022,6/30/2023,Adventure
666,Remnant 2,Gearbox Publishing,Gunfire Games,1000000,7/25/2023,8/2/2023,Shooter
667,Vanquish,Sega,PlatinumGames,970000,10/19/2010,11/13/2020,Shooter
668,Enslaved: Odyssey to the West,Namco Bandai Games,Ninja Theory,970000,10/5/2010,11/19/2020,Action-Adventure
669,Warriors Orochi 4,Koei Tecmo,Omega Force,950000,10/16/2018,10/17/2020,Action
670,Ni no Kuni II: Revenant Kingdom,Bandai Namco Entertainment,Level 5,900000,3/23/2018,1/22/2021,Role-Playing
671,Call of Juarez: Bound in Blood,Ubisoft,Techland,900000,6/30/2009,1/27/2021,Shooter
672,Tales of the Abyss,Namco Bandai Games,Namco Tales Studio,880000,10/10/2006,11/11/2020,Role-Playing
673,Test Drive 4,Accolade,Pitbull Syndicate,850000,11/3/1997,3/19/2021,Racing
674,Ben 10 Ultimate Alien: Cosmic Destruction,D3 Publisher,Papaya Studio Corporation,830000,10/5/2010,11/18/2020,Action-Adventure
675,Dungeon Siege III,Square Enix,Obsidian Entertainment,820000,6/21/2011,1/7/2021,Role-Playing
676,Ben 10 Alien Force: Vilgax Attacks,D3 Publisher,Papaya Studio Corporation,810000,10/27/2009,11/18/2020,Action-Adventure
677,Godzilla: Unleashed,Atari,Pipeworks Software,800000,11/20/2007,4/14/2021,Fighting
678,Deer Hunter II: The Hunt Continues,WizardWorks,Sunstorm Interactive,800000,10/1/1998,9/28/2022,Shooter
679,13 Sentinels: Aegis Rim,Sega,Vanillaware,800000,9/22/2020,11/28/2022,Adventure
680,Shellshock: Nam '67,Eidos Interactive,Guerrilla Games,800000,9/14/2004,5/21/2023,Shooter
681,Prince of Persia 2: The Shadow and the Flame,Ubisoft,Broderbund,750000,1/1/1993,11/26/2020,Platform
682,Broken Sword II: The Smoking Mirror,Virgin Interactive,Revolution Software,750000,10/17/1997,3/3/2021,Adventure
683,Leisure Suit Larry: Love for Sail!,Sierra Online,Sierra On-Line,750000,11/26/1996,4/7/2021,Adventure
684,Sacred 2: Fallen Angel,Deep Silver,Ascaron,750000,11/11/2008,4/21/2021,Role-Playing
685,IHRA Drag Racing,Bethesda Softworks,Digital Dialect,750000,1/1/2001,4/7/2022,Racing
686,Sewer Shark,Sony Imagesoft,Digital Pictures,750000,10/15/1992,10/1/2022,Shooter
687,The Fifth Element,Activision,Kalisto Entertainment,750000,9/30/1998,6/5/2023,Action-Adventure
688,Dynasty Warriors 9,Koei Tecmo,Omega Force,730000,2/13/2018,10/17/2020,Action
689,Dragon Ball Z: Burst Limit,Atari,Dimps Corporation,730000,6/10/2008,11/20/2020,Fighting
690,Sonic Lost World,Sega,Sonic Team/Dimps Corporation,710000,10/29/2013,10/23/2020,Platform
691,Dragon Ball Z: Ultimate Tenkaichi,Bandai,Spike,700000,10/25/2011,10/27/2020,Fighting
692,Dragon Ball: Raging Blast,Bandai,Spike,700000,11/10/2009,11/18/2020,Fighting
693,God Eater 2,Bandai Namco Entertainment,Shift,700000,11/14/2013,11/18/2020,Role-Playing
694,Dynasty Warriors: Gundam 2,Bandai Namco,Omega Force,700000,4/22/2009,11/20/2020,Action
695,Nier,Square Enix,Cavia,700000,4/27/2010,12/24/2020,Role-Playing
696,Attack on Titan,Koei Tecmo,Omega Force,700000,8/30/2016,1/22/2021,Action
697,Gone Home,The Fullbright Company,The Fullbright Company,700000,8/15/2013,1/28/2021,Adventure
698,Wing Commander III: Heart of the Tiger,Origin Systems,Origin Systems,700000,12/1/1994,3/16/2021,Simulation
699,Tennis World Tour,Bigben Interactive,Breakpoint Studio,700000,5/22/2018,4/26/2021,Sports
700,Striker,Rage Software,Rage Software,700000,1/1/1992,4/7/2022,Sports
701,Tales of Rebirth,Namco,Namco Tales Studio,690000,12/16/2004,11/11/2020,Role-Playing
702,Football Manager 2011,Sega,Sports Interactive,690000,11/5/2010,11/13/2020,Simulation
703,Dynasty Warriors 7,Tecmo Koei,Omega Force,660000,3/29/2011,10/16/2020,Action
704,One Piece Unlimited World: Red,Bandai Namco Games,Ganbarion,650000,7/8/2014,11/23/2020,Action-Adventure
705,Safecracker,GT Interactive,Daydream Software,650000,5/1/1997,3/12/2021,Puzzle
706,Ninja Gaiden 3,Tecmo Koei,Team Ninja,630000,3/20/2012,10/16/2020,Action
707,Dragon Ball Z: Battle of Z,Bandai,ArtDink,620000,1/28/2014,10/27/2020,Fighting
708,VA-11 HALL-A,Ysbryd Games,Sukeban Games,600000,6/21/2016,12/1/2020,Adventure
709,Oddworld: Stranger's Wrath HD,Electronic Arts,Oddworld Inhabitants,600000,1/25/2005,1/1/2021,Action-Adventure
710,Mini Ninjas,Eidos Interactive,IO Interactive,600000,9/8/2009,1/18/2021,Action
711,Akiba's Trip: Undead & Undressed,Xseed Games,Acquire,600000,8/12/2014,2/3/2021,Action
712,Bloodstained: Curse of the Moon,Inti Creates,Inti Creates,600000,5/24/2018,2/8/2021,Platform
713,Omikron: The Nomad Soul,Eidos Interactive,Quantic Dream,600000,11/5/1999,3/8/2021,Adventure
714,Syberia II,MC2 Entertainment,Microids,600000,3/30/2004,3/9/2021,Adventure
715,Ring: The Legend of the Nibelungen,Red Orb Entertainment,Arxel Tribe,600000,7/5/1999,3/11/2021,Adventure
716,All-Star Baseball 2003,Acclaim Entertainment,Acclaim Studios Austin,600000,3/7/2002,4/16/2021,Sports
717,Shin Megami Tensei III: Nocturne HD Remaster,Sega,Atlus,600000,5/21/2021,4/28/2021,Role-Playing
718,F1 Manager 2022,Frontier Developments,Frontier Developments,600000,8/30/2022,1/10/2023,Simulation
719,Montezuma's Revenge,Parker Brothers,Utopia Software,600000,1/1/1984,6/24/2023,Platform
