Rank,Title,Publisher,Developer,Total Sales,Release Date,Last Update,Genre
1,Minecraft,Mojang,Mojang AB,238000000,11/18/2011,10/8/2020,Action-Adventure
2,Grand Theft Auto V,Rockstar Games,Rockstar North,180000000,9/17/2013,10/8/2020,Action-Adventure
3,PlayerUnknown's Battlegrounds,PUBG Corporation,PUBG Corporation,70000000,12/17/2017,10/24/2020,Shooter
4,The Elder Scrolls V: Skyrim,Bethesda Softworks,Bethesda Game Studios,60000000,11/10/2011,10/27/2020,Role-Playing
5,Red Dead Redemption 2,Rockstar Games,Rockstar Studios,53000000,10/26/2018,10/8/2020,Action-Adventure
6,The Witcher 3: Wild Hunt,Warner Bros. Interactive Entertainment,CD Projekt Red Studio,50000000,5/18/2015,10/29/2020,Role-Playing
7,Terraria,Re-Logic,Re-Logic,44500000,5/16/2011,10/10/2020,Platform
8,The Legend of Zelda: Breath of the Wild,Nintendo,Nintendo,32350000,3/3/2017,2/7/2023,Action-Adventure
9,Call of Duty: Black Ops II,Activision,Treyarch,31000000,11/13/2012,8/15/2021,Shooter
10,Call of Duty: Black Ops,Activision,Treyarch,30000000,11/9/2010,10/14/2020,Shooter
11,Diablo III,Blizzard Entertainment,Blizzard Entertainment,30000000,5/15/2015,10/29/2020,Role-Playing
12,Call of Duty: Modern Warfare,Activision,Infinity Ward,30000000,10/25/2019,11/29/2020,Shooter
13,Call of Duty: Modern Warfare 3,Activision,Infinity Ward,30000000,11/8/2011,8/15/2021,Shooter
14,Grand Theft Auto: San Andreas,Rockstar Games,Rockstar North,27500000,10/26/2004,10/13/2020,Action-Adventure
15,Borderlands 2,2K Games,Gearbox Software,27000000,9/18/2012,10/27/2020,Shooter
16,FIFA 18,Electronic Arts,EA Vancouver,26400000,9/26/2017,10/15/2020,Sports
17,Grand Theft Auto IV,Rockstar Games,Rockstar North,25000000,12/2/2008,10/13/2020,Action-Adventure
18,Human: Fall Flat,Curve Digital,No Brakes Games,25000000,7/22/2016,2/11/2021,Platform
19,God of War (2018),Sony Interactive Entertainment,SIE Santa Monica Studio,23000000,4/20/2018,11/23/2022,Action
20,Monster Hunter: World,Capcom,Capcom,22700000,1/26/2018,10/13/2020,Role-Playing
21,Call of Duty: Modern Warfare 2,Activision,Infinity Ward,22700000,11/10/2009,10/14/2020,Shooter
22,Final Fantasy X/X-2,Square,Square,20800000,12/17/2001,10/19/2020,Role-Playing
23,Elden Ring,Bandai Namco Entertainment,From Software,20500000,2/25/2022,2/28/2022,Action-Adventure
24,FIFA 19,EA Sports,EA Vancouver,20000000,9/28/2018,10/15/2020,Sports
25,Fallout 4,Bethesda Softworks,Bethesda Game Studios,20000000,11/10/2015,10/30/2020,Role-Playing
26,Stardew Valley,ConcernedApe,ConcernedApe,20000000,2/26/2016,12/28/2020,Simulation
27,Dying Light,Warner Bros. Interactive Entertainment,Techland,20000000,1/27/2015,7/22/2021,Action-Adventure
28,Horizon: Zero Dawn,Sony Interactive Entertainment,Guerrilla Games,20000000,2/28/2017,2/11/2022,Action-Adventure
29,Cyberpunk 2077,CD Projekt Red Studio,CD Projekt Red Studio,20000000,12/10/2020,10/2/2022,Role-Playing
30,Call of Duty: Ghosts,Activision,Infinity Ward,19000000,11/5/2013,10/14/2020,Shooter
31,The Elder Scrolls Online,Bethesda Softworks,ZeniMax Online Studios,18000000,4/4/2014,10/27/2020,Role-Playing
32,Need for Speed: Most Wanted,Electronic Arts,EA Canada,17800000,11/15/2005,10/20/2020,Racing
33,Grand Theft Auto: Vice City,Rockstar Games,Rockstar North,17500000,10/29/2002,10/14/2020,Action-Adventure
34,Borderlands 3,2K Games,Gearbox Software,17000000,9/13/2019,10/27/2020,Shooter
35,Zuma,PopCap Games,Oberon Media,17000000,12/12/2003,11/30/2020,Puzzle
36,FIFA 11,EA Sports,EA Canada,16000000,9/28/2010,10/15/2020,Sports
37,The Sims,Electronic Arts,Maxis,16000000,2/4/2000,10/18/2020,Simulation
38,Call of Duty 4: Modern Warfare,Activision,Infinity Ward,15700000,11/5/2007,10/14/2020,Shooter
39,Call of Duty: World at War,Activision,Treyarch,15700000,11/11/2008,11/29/2020,Shooter
40,Need for Speed: Carbon,Electronic Arts,EA Canada,15600000,10/30/2006,8/30/2021,Racing
41,Need for Speed: Underground,Electronic Arts,EA Black Box,15000000,11/17/2003,10/20/2020,Racing
42,Assassin's Creed IV: Black Flag,Ubisoft,Ubisoft Montreal,15000000,10/29/2013,10/21/2020,Action-Adventure
43,Battlefield 3,Electronic Arts,EA DICE,15000000,10/25/2011,10/23/2020,Shooter
44,Mortal Kombat 11,Warner Bros. Interactive Entertainment,NetherRealm Studios,15000000,4/23/2019,10/28/2020,Fighting
45,Red Dead Redemption,Rockstar Games,Rockstar San Diego,15000000,5/18/2010,10/30/2020,Action-Adventure
46,Mario & Sonic at the Olympic Games,Sega,Sega Sports R&D,15000000,11/6/2007,11/9/2020,Sports
47,Theme Park,Bullfrog Productions,Bullfrog Productions,15000000,6/1/1994,9/26/2022,Simulation
48,Hogwarts Legacy,Warner Bros. Interactive Entertainment,Avalanche Software,15000000,2/10/2023,2/23/2023,Role-Playing
49,Grand Theft Auto III,Rockstar Games,Rockstar North,14500000,10/22/2001,10/14/2020,Action-Adventure
50,FIFA 13,EA Sports,EA Canada,14500000,9/25/2012,10/15/2020,Sports
51,Final Fantasy VII,Sony Computer Entertainment,Square,14100000,9/7/1997,10/9/2020,Role-Playing
52,Street Fighter II,Capcom,Capcom,14050000,2/15/1991,11/2/2022,Fighting
53,NBA 2K20,2K Sports,Visual Concepts,14000000,9/6/2019,10/22/2020,Sports
54,Star Wars Battlefront (2015),Electronic Arts,EA DICE,14000000,11/17/2015,10/31/2020,Shooter
55,Portal,Valve,Valve,13970000,10/10/2007,11/9/2020,Puzzle
56,Resident Evil 5,Capcom,Capcom,13900000,3/13/2009,10/11/2020,Action-Adventure
57,Monster Hunter Rise,Capcom,Capcom,13200000,3/26/2021,1/18/2022,Action-Adventure
58,Resident Evil 4,Capcom,Capcom,12800000,1/11/2005,10/11/2020,Action-Adventure
59,Resident Evil 2 (2019),Capcom,Capcom,12600000,1/25/2019,10/11/2020,Action-Adventure
60,Batman: Arkham City,Warner Bros. Interactive Entertainment,Rocksteady Studios,12500000,10/18/2011,11/9/2020,Action-Adventure
61,Rust,Facepunch Studios,Facepunch Studios,12480000,2/8/2018,1/10/2022,Action-Adventure
62,Resident Evil 7,Capcom,Capcom,12400000,1/24/2017,10/11/2020,Action-Adventure
63,Assassin's Creed III,Ubisoft,Ubisoft Montreal,12000000,10/30/2012,10/21/2020,Action-Adventure
64,NBA 2K19,2K Sports,Visual Concepts,12000000,9/11/2018,10/22/2020,Sports
65,Cities: Skylines,Paradox Interactive,Colossal Order,12000000,3/10/2015,1/27/2021,Simulation
66,Assetto Corsa,Kunos Simulazioni,Kunos Simulazioni,12000000,12/19/2014,5/31/2021,Racing
67,7 Days to Die,The Fun Pimps,The Fun Pimps,12000000,12/13/2013,8/15/2021,Role-Playing
68,Resident Evil 6,Capcom,Capcom,11100000,10/2/2012,10/11/2020,Action-Adventure
69,Need for Speed: Underground 2,Electronic Arts,EA Black Box,11000000,11/9/2004,10/20/2020,Racing
70,Tomb Raider (2013),Square Enix,Crystal Dynamics,11000000,3/5/2013,10/26/2020,Action-Adventure
71,Mortal Kombat X,Warner Bros. Interactive Entertainment,NetherRealm Studios,11000000,4/7/2015,10/28/2020,Fighting
72,Civilization VI,2K Games,Firaxis Games,11000000,10/21/2016,10/31/2020,Strategy
73,BioShock Infinite,2K Games,Irrational Games,11000000,3/26/2013,11/3/2020,Shooter
74,NBA 2K21,2K Sports,Visual Concepts,11000000,9/4/2020,11/6/2020,Sports
75,Lego Batman: The Videogame,Warner Bros. Interactive Entertainment,TT Fusion,11000000,9/23/2008,7/20/2021,Action-Adventure
76,God of War: Ragnarök,Sony Interactive Entertainment,Sony Computer Entertainment,11000000,11/9/2022,11/23/2022,Action
77,Need for Speed: ProStreet,Electronic Arts,EA Black Box,10900000,11/14/2007,10/20/2020,Racing
78,Monster Hunter World: Iceborne,Capcom,Capcom,10500000,9/6/2019,10/13/2020,Role-Playing
79,Rocket League,Psyonix,Psyonix,10500000,7/7/2015,12/18/2020,Sports
80,Tekken 7,Bandai Namco Entertainment,Bandai Namco Studios,10000000,3/18/2015,10/9/2020,Fighting
81,Dead Cells,Motion Twin,Motion Twin,10000000,8/7/2018,10/9/2020,Action
82,FIFA 10,EA Sports,EA Canada,10000000,10/20/2009,10/15/2020,Sports
83,FIFA 12,EA Sports,EA Canada,10000000,9/27/2011,10/15/2020,Sports
84,The Sims 3,Electronic Arts,Maxis,10000000,6/2/2009,10/18/2020,Simulation
85,Final Fantasy XV,Square Enix,Square Enix,10000000,11/29/2016,10/19/2020,Role-Playing
86,Assassin's Creed Unity,Ubisoft,Ubisoft Montreal,10000000,11/11/2014,10/21/2020,Action-Adventure
87,Assassin's Creed Origins,Ubisoft,Ubisoft Montreal,10000000,10/27/2017,10/21/2020,Action-Adventure
88,Assassin's Creed Odyssey,Ubisoft,Ubisoft Quebec,10000000,10/5/2018,10/21/2020,Action-Adventure
89,NBA 2K18,2K Sports,Visual Concepts,10000000,9/19/2017,10/22/2020,Sports
90,Dragon Ball Xenoverse 2,Bandai Namco Entertainment,Dimps Corporation,10000000,10/25/2016,10/27/2020,Role-Playing
91,Dragon Ball FighterZ,Bandai Namco Entertainment,Arc System Works,10000000,1/26/2018,10/27/2020,Fighting
92,Far Cry 3,Ubisoft,Ubisoft Montreal,10000000,12/4/2012,10/28/2020,Shooter
93,Far Cry 4,Ubisoft,Ubisoft Montreal,10000000,11/18/2014,10/28/2020,Shooter
94,Far Cry 5,Ubisoft,Ubisoft,10000000,3/27/2018,10/28/2020,Shooter
95,Crash Bandicoot N. Sane Trilogy,Activision,Vicarious Visions,10000000,6/30/2017,10/30/2020,Platform
96,Tom Clancy's Rainbow Six Siege,Ubisoft,Ubisoft Montreal,10000000,12/1/2015,11/2/2020,Shooter
97,Tom Clancy's Ghost Recon Wildlands,Ubisoft,Ubisoft Paris,10000000,3/7/2017,11/2/2020,Shooter
98,Dark Souls III,Bandai Namco Entertainment,From Software,10000000,4/12/2016,11/8/2020,Role-Playing
99,Watch Dogs,Ubisoft,Ubisoft Montreal,10000000,5/27/2014,11/28/2020,Action-Adventure
100,Tom Clancy's The Division,Ubisoft,Massive Entertainment,10000000,3/8/2016,11/28/2020,Shooter
101,Watch Dogs 2,Ubisoft,Ubisoft Montreal,10000000,11/15/2016,11/28/2020,Action-Adventure
102,Tom Clancy's The Division 2,Ubisoft,Massive Entertainment,10000000,3/15/2019,11/28/2020,Shooter
103,Star Wars Jedi: Fallen Order,Electronic Arts,Respawn Entertainment,10000000,11/15/2019,12/30/2020,Action-Adventure
104,Titanfall,Electronic Arts,Respawn Entertainment,10000000,3/11/2014,2/21/2021,Shooter
105,It Takes Two,Electronic Arts,Hazelight,10000000,3/26/2021,4/23/2021,Action-Adventure
106,NBA 2K22,2K Sports,Visual Concepts,10000000,9/10/2021,9/21/2021,Sports
107,Ghost of Tsushima,Sony Interactive Entertainment,Sucker Punch,9730000,7/17/2020,7/16/2022,Action-Adventure
108,Street Fighter IV,Capcom,Capcom / Dimps Corporation,9700000,2/17/2009,10/10/2020,Fighting
109,Final Fantasy VIII,Square,Square,9600000,9/9/1999,10/19/2020,Role-Playing
110,Assassin's Creed II,Ubisoft,Ubisoft Montreal,9000000,11/17/2009,10/21/2020,Action-Adventure
111,Battlefield: Bad Company 2,Electronic Arts,EA DICE,9000000,3/2/2010,10/23/2020,Shooter
112,Star Wars Battlefront II (2017),Electronic Arts,EA DICE,9000000,11/17/2017,10/31/2020,Shooter
113,Harry Potter and the Chamber of Secrets,Electronic Arts,EA UK,9000000,11/15/2002,9/29/2022,Action-Adventure
114,Monster Hunter Generations,Capcom,Capcom,8900000,7/15/2016,10/13/2020,Role-Playing
115,Need for Speed: Undercover,Electronic Arts,EA Black Box,8900000,11/18/2008,10/20/2020,Racing
116,Naruto Shippuden: Ultimate Ninja Storm 4,Bandai Namco Entertainment,CyberConnect2,8700000,2/9/2016,11/16/2020,Fighting
117,The Legend of Zelda: Twilight Princess,Nintendo,Nintendo EAD,8690000,12/11/2006,2/9/2023,Action-Adventure
118,NBA 2K17,2K Sports,Visual Concepts,8500000,9/20/2016,10/22/2020,Sports
119,Metro Exodus,Deep Silver,4a-games,8500000,2/15/2019,2/17/2022,Shooter
120,Horizon: Forbidden West,Sony Interactive Entertainment,Guerrilla Games,8400000,2/18/2022,2/17/2022,Action-Adventure
121,Monster Hunter 4,Capcom,Capcom,8300000,2/13/2015,10/13/2020,Role-Playing
122,Resident Evil 8: Village,Capcom,Capcom,8300000,5/7/2021,5/11/2021,Action-Adventure
123,Lego Star Wars II: The Original Trilogy,LucasArts,TT Games,8200000,9/12/2006,6/9/2021,Action-Adventure
124,Grand Theft Auto: Liberty City Stories,Rockstar Games,Rockstar Leeds/North,8000000,10/24/2005,10/13/2020,Action-Adventure
125,Assassin's Creed,Ubisoft,Ubisoft Montreal,8000000,11/13/2007,10/20/2020,Action-Adventure
126,NBA 2K16,2K Sports,Visual Concepts,8000000,9/29/2015,10/22/2020,Sports
127,Detroit: Become Human,Sony Interactive Entertainment,Quantic Dream,8000000,5/25/2018,2/22/2021,Adventure
128,Cars,THQ,Rainbow Studios,8000000,6/6/2006,2/27/2021,Racing
129,FIFA 09,EA Sports,EA Canada,7800000,10/15/2008,10/20/2020,Sports
130,Final Fantasy XII,Square Enix,Square Enix,7710000,10/31/2006,10/19/2020,Role-Playing
131,Final Fantasy XIII,Square Enix,Square Enix,7710000,3/9/2010,10/19/2020,Role-Playing
132,Resident Evil 3 (2020),Capcom,Capcom,7600000,4/3/2020,10/11/2020,Action-Adventure
133,NieR: Automata,Square Enix,PlatinumGames,7500000,3/7/2017,12/24/2020,Role-Playing
134,Madden NFL 07,EA Sports,EA Tiburon,7400000,8/22/2006,10/19/2022,Sports
135,Battlefield V,Electronic Arts,EA DICE,7300000,11/20/2018,10/9/2020,Shooter
136,Street Fighter V,Capcom,Capcom,7300000,2/16/2016,10/13/2020,Fighting
137,Devil May Cry 5,Capcom,Capcom,7200000,3/8/2019,10/11/2020,Action
138,Assassin's Creed: Brotherhood,Ubisoft,Ubisoft Montreal,7200000,11/16/2010,10/21/2020,Action-Adventure
139,Persona 5,Atlus,Atlus,7200000,4/4/2017,12/6/2020,Role-Playing
140,Call of Duty 3,Activision,Treyarch,7200000,11/7/2006,9/26/2022,Shooter
141,Tomb Raider,Eidos Interactive,Core Design,7160000,11/14/1996,10/26/2020,Action-Adventure
142,Assassin's Creed: Revelations,Ubisoft,Ubisoft Montreal,7000000,11/15/2011,10/21/2020,Action-Adventure
143,NBA 2K14,2K Sports,Visual Concepts,7000000,10/1/2013,10/22/2020,Sports
144,NBA 2K15,2K Sports,Visual Concepts,7000000,10/7/2014,10/22/2020,Sports
145,Rise of the Tomb Raider,Square Enix,Crystal Dynamics,7000000,11/10/2015,10/26/2020,Action-Adventure
146,Mafia III,2K Games,Hangar 13,7000000,10/7/2016,11/6/2020,Action-Adventure
147,Ark: Survival Evolved,Studio Wildcard,Studio Wildcard,7000000,8/29/2017,12/31/2020,Action-Adventure
148,Star Wars: The Force Unleashed,LucasArts,LucasArts,7000000,9/16/2008,1/28/2021,Action-Adventure
149,Zumba Fitness,Majesco,Pipeworks Software,7000000,11/18/2010,7/20/2021,Sports
150,Grim Dawn,Crate Entertainment,Crate Entertainment,7000000,2/25/2016,2/28/2022,Role-Playing
151,The Room,Fireproof Games,Fireproof Games,6940000,9/1/2012,12/18/2020,Puzzle
152,Tomb Raider II,Eidos Interactive,Core Design,6850000,11/21/1997,10/26/2020,Action-Adventure
153,Kingdom Hearts III,Square Enix,Square Enix,6700000,1/29/2019,11/8/2020,Role-Playing
154,Lego Star Wars: The Video Game,Eidos Interactive,TT Games,6700000,3/29/2005,6/9/2021,Action-Adventure
155,Mario & Sonic at the Olympic Winter Games,Sega,Sega Sports R&D,6530000,10/13/2009,11/9/2020,Sports
156,Dragon Quest XI,Square Enix,Square Enix,6500000,9/4/2018,10/23/2020,Role-Playing
157,Marvel's Spider-Man: Miles Morales,Sony Interactive Entertainment,Insomniac Games,6500000,11/12/2020,2/3/2021,Action-Adventure
158,Madden NFL 06,EA Sports,EA Tiburon,6500000,8/8/2005,10/19/2022,Sports
159,Monster Hunter Rise: Sunbreak,Capcom,Capcom,6100000,6/30/2022,7/5/2022,Action-Adventure
160,Borderlands,2K Games,Gearbox Software,6000000,10/20/2009,10/27/2020,Shooter
161,Metal Gear Solid,Konami,Konami Computer Entertainment Japan,6000000,10/21/1998,10/28/2020,Action-Adventure
162,Metal Gear Solid V: The Phantom Pain,Konami,Kojima Productions,6000000,9/1/2015,10/28/2020,Action-Adventure
163,Star Wars: Battlefront II,LucasArts,Pandemic Studios,6000000,11/1/2005,10/31/2020,Shooter
164,Tom Clancy's Splinter Cell,Ubisoft,Ubisoft,6000000,11/17/2002,11/7/2020,Action-Adventure
165,Cuphead,Studio MDHR,Studio MDHR,6000000,9/29/2017,11/23/2020,Platform
166,Mass Effect 3,Electronic Arts,BioWare,6000000,3/6/2012,12/5/2020,Role-Playing
167,Limbo,Playdead,Playdead,6000000,7/21/2010,12/27/2020,Platform
168,Dragon Age: Inquisition,Electronic Arts,BioWare,6000000,11/18/2014,12/31/2020,Role-Playing
169,FIFA 07,Electronic Arts,EA Canada,6000000,9/25/2006,9/28/2022,Sports
170,Tekken 6,Namco Bandai Games,Namco Bandai Games,5980000,11/26/2007,10/29/2020,Fighting
171,Tomb Raider III,Eidos Interactive,Core Design,5940000,11/20/1998,10/26/2020,Action-Adventure
172,Call of Duty 2,Activision,Infinity Ward,5900000,10/25/2005,9/26/2022,Shooter
173,Final Fantasy IX,Square,Square,5830000,11/13/2000,10/19/2020,Role-Playing
174,Deep Rock Galactic,Coffee Stain Publishing,Ghost Ship Games,5810000,5/13/2020,1/26/2021,Shooter
175,DayZ,Bohemia Interactive,Bohemia Interactive,5800000,12/13/2018,12/20/2020,Action-Adventure
176,NBA 2K11,2K Sports,Visual Concepts,5500000,10/5/2010,10/22/2020,Sports
177,Saints Row: The Third,THQ,Volition,5500000,11/15/2011,12/6/2020,Action-Adventure
178,Donkey Kong Country: Tropical Freeze,Nintendo,Retro Studios,5440000,2/21/2014,7/21/2021,Platform
179,Devil May Cry 4,Capcom,Capcom,5400000,2/5/2008,10/11/2020,Action
180,Dragon Ball Xenoverse,Bandai Namco Games,Dimps Corporation,5350000,2/24/2015,10/27/2020,Role-Playing
181,Heavy Rain,Sony Computer Entertainment,Quantic Dream,5300000,2/23/2010,3/8/2021,Adventure
182,Resident Evil (2002),Capcom,Capcom,5250000,9/13/2002,10/11/2020,Action-Adventure
183,Subnautica,Unknown Worlds Entertainment,Unknown Worlds Entertainment,5230000,1/23/2018,1/8/2021,Adventure
184,Dragon's Dogma: Dark Arisen,Capcom,Capcom,5200000,4/23/2013,1/8/2021,Role-Playing
185,Monument Valley,Ustwo Games,Ustwo Games,5100000,4/3/2014,1/30/2021,Puzzle
186,Resident Evil,Capcom,Capcom,5080000,3/30/1996,10/11/2020,Action-Adventure
187,Resident Evil Zero,Capcom,Capcom,5050000,11/12/2002,10/11/2020,Action-Adventure
188,Madden NFL 12,EA Sports,EA Tiburon,5000000,8/30/2011,10/15/2020,Sports
189,Madden NFL 11,EA Sports,EA Canada,5000000,8/10/2010,10/20/2020,Sports
190,Need for Speed: Hot Pursuit (2010),Electronic Arts,Criterion Games,5000000,11/16/2010,10/20/2020,Racing
191,Medal of Honor (2010),Electronic Arts,Danger Close Games,5000000,10/12/2010,11/2/2020,Shooter
192,Batman: Arkham Knight,Warner Bros. Interactive Entertainment,Rocksteady Studios,5000000,6/23/2015,11/9/2020,Action-Adventure
193,Dead Island,Deep Silver,Techland,5000000,9/6/2011,1/8/2021,Action-Adventure
194,Enter the Matrix,Atari,Shiny Entertainment,5000000,5/14/2003,1/9/2021,Action-Adventure
195,Kerbal Space Program,Private Division,Squad,5000000,4/27/2015,1/10/2021,Simulation
196,Worms,Ocean Software,Team17,5000000,11/17/1995,1/26/2021,Strategy
197,Dead by Daylight,Behaviour Interactive,Behaviour Interactive,5000000,6/14/2016,2/8/2021,Action
198,Sekiro: Shadows Die Twice,Activision,From Software,5000000,3/22/2019,2/12/2021,Action-Adventure
199,The Long Dark,Hinterland Studio Inc.,Hinterland Studio Inc.,5000000,8/1/2017,2/18/2021,Simulation
200,Peter Jackson's King Kong: The Official Game of the Movie,Ubisoft,Ubisoft Montpellier,5000000,11/17/2005,2/23/2021,Action-Adventure
201,L.A. Noire,Rockstar Games,Team Bondi,5000000,5/17/2011,3/11/2021,Adventure
202,South Park: The Stick of Truth,Ubisoft,Obsidian Entertainment,5000000,3/4/2014,4/16/2021,Role-Playing
203,Death Stranding,Sony Interactive Entertainment,Kojima Productions,5000000,11/8/2019,7/26/2021,Action-Adventure
204,Slime Rancher,Monomi Park,Monomi Park,5000000,8/1/2017,1/15/2022,Simulation
205,Diablo II: Resurrected,Blizzard Entertainment,Vicarious Visions,5000000,9/23/2021,4/17/2022,Role-Playing
206,Dying Light 2 Stay Human,Techland,Techland,5000000,2/4/2022,4/22/2022,Action-Adventure
207,Resident Evil 4 (2023),Capcom,Capcom,5000000,3/24/2023,6/2/2022,Action-Adventure
208,Madden NFL 2004,EA Sports,EA Tiburon,5000000,8/12/2003,10/19/2022,Sports
209,Finding Nemo,THQ,Traveller's Tales,5000000,5/12/2003,5/24/2023,Action-Adventure
210,Dark Souls,Namco Bandai Games,From Software,4960000,10/4/2011,11/20/2020,Role-Playing
211,Yoshi,Nintendo,Game Freak,4870000,6/1/1992,11/9/2020,Puzzle
212,Tomb Raider: The Last Revelation,Eidos Interactive,Core Design,4740000,11/22/1999,10/26/2020,Action-Adventure
213,Sonic Heroes,Sega,Sonic Team,4580000,1/6/2004,11/14/2020,Platform
214,Dragon Ball Z: Kakarot,Bandai Namco Entertainment,CyberConnect2,4500000,1/17/2020,10/9/2020,Role-Playing
215,Grand Theft Auto: Vice City Stories,Rockstar Games,Rockstar Leeds/North,4500000,10/31/2006,10/13/2020,Action-Adventure
216,Monster Hunter 3,Capcom,Capcom,4500000,4/20/2010,10/13/2020,Role-Playing
217,FIFA Football 2005,EA Sports,EA Canada,4500000,10/12/2004,10/15/2020,Sports
218,Madden NFL 09,EA Sports,EA Tiburon,4500000,8/12/2008,10/22/2020,Sports
219,NBA 2K13,2K Sports,Visual Concepts,4500000,10/2/2012,10/22/2020,Sports
220,This War of Mine,11 bit studios,11 bit studios,4500000,11/14/2014,1/10/2021,Strategy
221,FIFA 08,EA Sports,EA Canada,4500000,10/8/2007,4/17/2021,Sports
222,Call of Duty,Activision,Infinity Ward,4500000,10/29/2003,9/26/2022,Shooter
223,Madden NFL 08,EA Sports,EA Tiburon,4500000,8/14/2007,10/19/2022,Sports
224,Dead Rising 3,Microsoft Studios,Capcom,4400000,11/22/2013,11/2/2022,Action-Adventure
225,Batman: Arkham Asylum,Warner Bros. Interactive Entertainment,Rocksteady Studios,4300000,8/25/2009,11/9/2020,Action-Adventure
226,DmC: Devil May Cry,Capcom,Ninja Theory,4200000,1/15/2013,10/10/2020,Action
227,Tennis,Nintendo,Nintendo,4160000,10/18/1985,12/5/2020,Sports
228,Shadow of the Tomb Raider,Square Enix,Eidos Montreal,4120000,9/14/2018,10/26/2020,Action-Adventure
229,The Outer Worlds,Private Division,Obsidian Entertainment,4000000,10/25/2019,10/10/2020,Role-Playing
230,Madden NFL 10,EA Sports,EA Tiburon,4000000,8/13/2009,10/15/2020,Sports
231,Need for Speed: Shift,Electronic Arts,Slightly Mad Studios,4000000,9/15/2009,10/15/2020,Racing
232,Need for Speed Rivals,Electronic Arts,Ghost Games,4000000,11/15/2013,10/20/2020,Racing
233,NBA 2K12,2K Sports,Visual Concepts,4000000,10/4/2011,10/22/2020,Sports
234,Lego Jurassic World,Warner Bros. Interactive Entertainment,TT Fusion,4000000,6/12/2015,10/22/2020,Action-Adventure
235,WWE SmackDown vs. Raw 2009,THQ,THQ,4000000,11/9/2008,10/24/2020,Sports
236,The Elder Scrolls III: Morrowind,Bethesda Softworks,Bethesda Game Studios,4000000,5/1/2002,10/27/2020,Role-Playing
237,Far Cry Primal,Ubisoft,Ubisoft Montreal,4000000,2/23/2016,10/28/2020,Action-Adventure
238,Star Wars: Battlefront,LucasArts,Pandemic Studios,4000000,9/21/2004,10/31/2020,Shooter
239,BioShock,2K Games,2K Boston,4000000,8/21/2007,11/3/2020,Shooter
240,Max Payne 3,Rockstar Games,Rockstar Studios,4000000,5/15/2012,11/6/2020,Shooter
241,Sonic Colors,Sega,Sonic Team/Dimps Corporation,4000000,11/16/2010,11/14/2020,Platform
242,The Lord of the Rings: The Two Towers,Electronic Arts,Stormfront Studios,4000000,10/21/2002,12/3/2020,Action
243,Ace Combat 7: Skies Unknown,Bandai Namco Entertainment,Bandai Namco Studios,4000000,1/18/2019,12/3/2020,Simulation
244,Dead Space 2,Electronic Arts,Visceral Games,4000000,1/25/2011,1/4/2021,Action-Adventure
245,Ratatouille,THQ,Heavy Iron Studios,4000000,6/26/2007,3/1/2021,Platform
246,Max Payne,Gathering of Developers,Remedy Entertainment,4000000,7/23/2001,3/13/2021,Shooter
247,The Simpsons Game,Electronic Arts,EA Redwood Shores,4000000,10/30/2007,4/17/2021,Platform
248,Teenage Mutant Ninja Turtles,Ultra Games,Konami,4000000,6/25/1989,4/23/2022,Platform
249,Driver,GT Interactive,Reflections Interactive,4000000,6/30/1999,9/27/2022,Action-Adventure
250,Madden NFL 2005,EA Sports,EA Tiburon,4000000,8/9/2004,10/19/2022,Sports
251,Persona 5 Royal,Sega,Atlus,4000000,3/31/2020,12/1/2022,Role-Playing
252,The Incredibles,THQ,Heavy Iron Studios,4000000,11/1/2004,5/21/2023,Action-Adventure
253,Dark Souls II,Bandai Namco Games,From Software,3920000,3/11/2014,11/23/2020,Role-Playing
254,Final Fantasy III,Square,Square,3860000,4/27/1990,10/19/2020,Role-Playing
255,Final Fantasy VI,Square,Square,3810000,4/2/1994,10/19/2020,Role-Playing
256,Hitman 2: Silent Assassin,Eidos Interactive,IO Interactive,3710000,10/1/2002,10/26/2020,Action-Adventure
257,Hitman: Absolution,Square Enix,IO Interactive,3600000,11/20/2012,10/26/2020,Action-Adventure
258,Nioh,Koei Tecmo,Team Ninja,3500000,2/9/2017,10/17/2020,Action
259,Final Fantasy IV,Square,Square,3500000,7/19/1991,10/19/2020,Role-Playing
260,WWE SmackDown vs. Raw 2010,THQ,THQ,3500000,10/20/2009,10/24/2020,Sports
261,WWE SmackDown vs. Raw 2011,THQ,THQ,3500000,10/6/2010,10/24/2020,Sports
262,Mortal Kombat: Deadly Alliance,Midway Games,Midway Games,3500000,11/16/2002,10/28/2020,Fighting
263,Mario Tennis,Nintendo,Camelot Software Planning,3500000,8/28/2000,12/5/2020,Sports
264,Oddworld: Abe's Oddysee,GT Interactive,Oddworld Inhabitants,3500000,9/18/1997,1/1/2021,Platform
265,Elite Dangerous,Frontier Developments,Frontier Developments,3500000,12/16/2014,1/19/2021,Simulation
266,Monument Valley 2,Ustwo Games,Ustwo Games,3500000,6/5/2017,1/30/2021,Puzzle
267,A Way Out,Electronic Arts,Hazelight,3500000,3/23/2018,2/12/2021,Action-Adventure
268,Captain Toad: Treasure Tracker,Nintendo,Nintendo,3500000,12/5/2014,3/3/2021,Puzzle
269,Duke Nukem 3D,FormGen,3D Realms,3500000,1/29/1996,3/14/2021,Shooter
270,Doom,id Software,id Software,3500000,12/10/1993,3/19/2021,Shooter
